avg_daily_traffic,spans_units,structure_length[ft],age,deck_area[ft2],mile_point,latitude,longitud,approach_span_units,approach_width[ft],skew_angle[o],nav_vert_clearance,nav_horiz_clearance,route_horiz_clearance,lengt_max_span[ft],left_curb_width[ft],right_curb_width[ft],roadway_curb_curb_width,min_vert_clearance_over,min_vert_underclearance,min_right_underclearance,min_left_underclearance,min_clearance_lift_brige,operating_rating[us-tons],inventory_rating[us-tons],detour_dist,avg_daily_truck_traffic,avg_daily_future_traffic,length_improvement,improvement_cost,road_improvement_cost,total_project_cost,avg_daily_truck_traffic[computed],avg_rel_humidity,avg_temperature,max_temperature,mean_wind_speed,min_temperature,days_measurable_precipitation,days_temp_below_0C,wind_direction,time_wetness,total_precipitation,inspection_month,inspection_year,historical_code,condition_rate,structural_appraisal,approach_alignment_appraisal,operating_rating_code,inventory_rating_code,condition_code
22740.0,1,1278.9,72,96502.7,6.0,31.16781,-81.41343,32,57.1,0,0.0,0.0,71.9,127.0,0.0,0.0,71.9,99.98999786,0.0,0.0,0.0,0.0,99.0,33.0,98.8,1,34110,0.0,7723.0,772.0,11585.0,227.0,,,,,,0,0,,,,11,2018,5,Fair,6,7,1,1,6
7110.0,3,338.9,30,14343.6,1.0,32.03768,-81.07671,0,26.9,18,0.0,0.0,27.9,112.9,5.9,5.9,27.9,99.98999786,16.8,13.8,10.4,0.0,60.0,35.9,1.2,1,10665,0.0,1325.0,132.0,1987.0,71.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,10,2018,5,Good,7,8,1,1,7
22220.0,3,161.1,25,15326.7,9.0,32.05563,-81.0725,0,91.9,0,0.0,0.0,44.9,61.0,0.0,0.0,89.9,99.98999786,16.4,8.2,19.3,0.0,73.0,39.9,1.2,4,33330,0.0,972.0,97.0,1458.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,1,1,7
22220.0,3,191.9,25,18261.0,9.0,32.05653,-81.07256,0,91.9,0,0.0,0.0,44.9,75.1,0.0,0.0,89.9,99.98999786,16.3,13.8,26.2,0.0,67.9,29.0,1.2,4,33330,0.0,1159.0,116.0,1739.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,6,8,1,1,7
34960.0,3,213.9,9,9404.2,2.0,31.97347,-81.1057,0,41.0,0,0.0,0.0,41.3,140.1,0.0,0.0,41.3,99.98999786,23.0,10.8,0.0,0.0,68.9,40.9,1.2,4,44360,256.9,19018.0,1901.0,28527.0,1398.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,3,2018,5,Good,7,8,1,1,7
34960.0,3,213.9,9,9404.2,2.0,31.97363,-81.10575,0,41.0,0,0.0,0.0,41.3,140.1,0.0,0.0,41.3,99.98999786,17.6,12.1,0.0,0.0,71.0,43.0,1.2,4,44360,11298.9,836141.0,83614.0,99999.0,1398.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,3,2018,5,Good,8,8,1,1,7
22220.0,3,176.8,25,25527.7,10.0,32.0611,-81.07167,0,88.9,0,0.0,0.0,70.2,65.0,0.0,0.0,138.5,99.98999786,16.7,9.8,0.0,0.0,61.0,33.0,1.2,4,33330,0.0,1446.0,145.0,2169.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,1,1,7
22980.0,2,32.2,61,3090.7,1.0,32.07223,-81.06782,0,54.1,0,0.0,0.0,90.9,16.1,0.0,0.0,90.9,99.98999786,0.0,0.0,0.0,0.0,58.0,35.9,8.1,9,34470,0.0,193.0,19.0,290.0,2068.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,7,2018,5,Good,7,8,2,2,7
1210.0,4,392.1,31,14277.8,1.0,32.03049,-81.085,0,27.9,17,0.0,0.0,27.2,105.0,0.0,5.9,27.6,99.98999786,17.9,11.8,9.8,0.0,60.0,37.9,1.2,3,1815,0.0,1532.0,153.0,2297.0,36.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,10,2018,5,Good,7,8,1,1,7
22220.0,3,26.9,18,2692.1,6.0,32.02167,-81.08865,0,100.1,11,0.0,0.0,77.8,7.9,0.0,0.0,0.0,99.98999786,0.0,0.0,0.0,0.0,110.1,110.1,1.9,4,33330,32.2,2368.0,236.0,3552.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,10,2018,5,Good,8,8,0,0,8
22220.0,3,226.0,19,10012.0,6.0,32.02266,-81.08826,0,39.0,0,0.0,0.0,41.0,122.0,0.0,0.0,41.3,99.98999786,17.6,18.4,0.0,0.0,63.9,42.0,1.2,4,33330,0.0,883.0,88.0,1325.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,2,2,7
